name,index,x,y,w,h
void,0,0,0,8,8
floor,1,8,0,8,8
floor2,2,16,0,8,8
corr,3,24,0,8,8
wall,4,32,0,8,8
wall2,5,40,0,8,8
wall_moss,6,48,0,8,8
door,7,56,0,8,8
dooropen,8,64,0,8,8
stairs_down,9,72,0,8,8
stairs_up,10,80,0,8,8
trap,11,88,0,8,8
trap_dart,12,96,0,8,8
trap_gas,13,104,0,8,8
trap_pit,14,112,0,8,8
gas,15,120,0,8,8
moss,16,0,8,8,8
moss2,17,8,8,8,8
bones,18,16,8,8,8
skull,19,24,8,8,8
rubble,20,32,8,8,8
column,21,40,8,8,8
table,22,48,8,8,8
barrel,23,56,8,8,8
chest,24,64,8,8,8
gold,25,72,8,8,8
gold2,26,80,8,8,8
food,27,88,8,8,8
fruit,28,96,8,8,8
amulet,29,104,8,8,8
pot_r,30,112,8,8,8
pot_b,31,120,8,8,8
pot_g,32,0,16,8,8
pot_y,33,8,16,8,8
pot_p,34,16,16,8,8
pot_c,35,24,16,8,8
pot_w,36,32,16,8,8
pot_o,37,40,16,8,8
scroll,38,48,16,8,8
wand,39,56,16,8,8
staff,40,64,16,8,8
ring_r,41,72,16,8,8
ring_b,42,80,16,8,8
ring_g,43,88,16,8,8
ring_y,44,96,16,8,8
sword,45,104,16,8,8
dagger,46,112,16,8,8
mace,47,120,16,8,8
axe,48,0,24,8,8
spear,49,8,24,8,8
bow,50,16,24,8,8
arrow,51,24,24,8,8
dart,52,32,24,8,8
armor_l,53,40,24,8,8
armor_c,54,48,24,8,8
armor_p,55,56,24,8,8
shield,56,64,24,8,8
shield2,57,72,24,8,8
shield3,58,80,24,8,8
cap,59,88,24,8,8
helm,60,96,24,8,8
crown,61,104,24,8,8
boots,62,112,24,8,8
sandals,63,120,24,8,8
ironboots,64,0,32,8,8
pouch,65,8,32,8,8
chest_open,66,16,32,8,8
arrow_up,67,24,32,8,8
water,68,32,32,8,8
water2,69,40,32,8,8
chair,70,48,32,8,8
hole,71,56,32,8,8
crack,72,64,32,8,8
crack2,73,72,32,8,8
holy,74,80,32,8,8
holy2,75,88,32,8,8
kerb,76,96,32,8,8
arrow_e,77,104,32,8,8
arrow_w,78,112,32,8,8
arrow_n,79,120,32,8,8
arrow_s,80,0,40,8,8
crossbow,81,8,40,8,8
bolt,82,16,40,8,8
bolt_e,83,24,40,8,8
bolt_w,84,32,40,8,8
bolt_n,85,40,40,8,8
bolt_s,86,48,40,8,8
point,87,56,40,8,8
mk_z,88,64,40,8,8
mk_q,89,72,40,8,8
mk_x,90,80,40,8,8
mk_ally,91,88,40,8,8
crystal,92,96,40,8,8
ice_wall,93,104,40,8,8
fire_wall,94,112,40,8,8
keyhole,95,120,40,8,8
door_wood,96,0,48,8,8
key_wood,97,8,48,8,8
chest_wood,98,16,48,8,8
door_bronze,99,24,48,8,8
key_bronze,100,32,48,8,8
chest_bronze,101,40,48,8,8
door_iron,102,48,48,8,8
key_iron,103,56,48,8,8
chest_iron,104,64,48,8,8
door_silver,105,72,48,8,8
key_silver,106,80,48,8,8
chest_silver,107,88,48,8,8
door_gold,108,96,48,8,8
key_gold,109,104,48,8,8
chest_gold,110,112,48,8,8
door_crystal,111,120,48,8,8
key_crystal,112,0,56,8,8
chest_crystal,113,8,56,8,8
hero,114,16,56,8,8
hero2,115,24,56,8,8
grave,116,32,56,8,8
mon_A,117,40,56,8,8
mon_B,118,48,56,8,8
mon_C,119,56,56,8,8
mon_D,120,64,56,8,8
mon_E,121,72,56,8,8
mon_F,122,80,56,8,8
mon_G,123,88,56,8,8
mon_H,124,96,56,8,8
mon_I,125,104,56,8,8
mon_J,126,112,56,8,8
mon_K,127,120,56,8,8
mon_L,128,0,64,8,8
mon_M,129,8,64,8,8
mon_N,130,16,64,8,8
mon_O,131,24,64,8,8
mon_P,132,32,64,8,8
mon_Q,133,40,64,8,8
mon_R,134,48,64,8,8
mon_S,135,56,64,8,8
mon_T,136,64,64,8,8
mon_U,137,72,64,8,8
mon_V,138,80,64,8,8
mon_W,139,88,64,8,8
mon_X,140,96,64,8,8
mon_Y,141,104,64,8,8
mon_Z,142,112,64,8,8
flame,143,120,64,8,8
frost,144,0,72,8,8
magic,145,8,72,8,8
cursor,146,16,72,8,8
heart,147,24,72,8,8
(font block),,0,80,96,42
